Type of experience;Incident Type;Who was affected;Place;Person/Group who committed incident;Date
heard;speech/rhetoric;Jews or the Jewish community.;in a classroom;a student.;2025-05-08 11:50:46
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;someone online.;2025-05-08 11:55:29
saw;physical assault;Jewish students.;at Hillel or Chabad;a campus club or organization.;2025-05-08 11:56:23
felt;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;someone online.;2025-05-08 12:42:33
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;in a classroom;a professor.;2025-05-08 12:42:53
—;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;on the quad;a campus club or organization.;2025-05-08 13:02:13
felt;speech/rhetoric;Israel.;off campus;someone online.;2025-05-08 13:40:50
heard;graffiti;the Israeli government.;online;someone from off campus.;2025-05-08 15:17:26
experienced;speech/rhetoric;Jews or the Jewish community.;off campus;—;2025-05-08 15:37:57
—;call for BDS (Boycott, Divestment, Sanctions);Israel.;off campus;someone from off campus.;2025-05-08 16:36:25
experienced;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;at a student club;a student.;2025-05-08 16:46:36
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;off campus;someone from off campus.;2025-05-08 17:13:53
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a student.;2025-05-08 18:40:03
felt;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;someone online.;2025-05-08 19:52:23
experienced;speech/rhetoric;Israel.;in my dorm;a student.;2025-05-08 21:05:39
heard;speech/rhetoric;Jews or the Jewish community.;off campus;—;2025-05-08 21:19:57
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;i’m not sure/unknown.;2025-05-08 21:59:46
felt;speech/rhetoric;Israel.;on the quad;a campus club or organization.;2025-05-08 23:23:39
felt;speech/rhetoric;Israel.;off campus;a professor.;2025-05-09 04:30:11
experienced;speech/rhetoric;me.;on the quad;—;2025-05-09 06:17:07
experienced;physical assault;Jewish students.;at Hillel or Chabad;a student.;2025-05-09 06:17:55
saw;graffiti;Jews or the Jewish community.;in a classroom;a student.;2025-05-09 06:18:42
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a campus club or organization.;2025-05-09 10:12:15
felt;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;at a student club;a campus club or organization.;2025-05-09 10:12:46
experienced;physical assault;Jewish students.;on the quad;i’m not sure/unknown.;2025-05-09 10:13:00
experienced;graffiti;the Israeli government.;on the quad;i’m not sure/unknown.;2025-05-09 10:13:19
saw;graffiti;—;at Hillel or Chabad;a student.;2025-05-09 12:42:47
experienced;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;off campus;i’m not sure/unknown.;2025-05-09 14:14:36
saw;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;in a classroom;i’m not sure/unknown.;2025-05-09 14:15:46
felt;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a campus club or organization.;2025-05-09 15:29:30
experienced;physical assault;me.;in a classroom;a student.;2025-05-09 15:29:51
saw;graffiti;Israel.;on the quad;i’m not sure/unknown.;2025-05-09 15:30:14
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;off campus;i’m not sure/unknown.;2025-05-09 15:30:35
saw;something else;Israel.;in a classroom;a student.;2025-05-09 16:28:18
saw;physical assault;the Israeli government.;in my dorm;someone from off campus.;2025-05-09 16:29:04
experienced;graffiti;me.;in a classroom;a student.;2025-05-09 16:29:25
experienced;speech/rhetoric;Israel.;off campus;someone online.;2025-05-09 17:22:25
heard;speech/rhetoric;the Israeli government.;at my fraternity or sorority;a student.;2025-05-09 17:54:00
experienced;speech/rhetoric;Israel.;in my dorm;—;2025-05-09 18:05:24
felt;graffiti;the Israeli government.;online;someone online.;2025-05-09 20:22:31
—;call for BDS (Boycott, Divestment, Sanctions);Israel.;—;—;2025-05-09 20:30:14
felt;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;off campus;a student.;2025-05-10 03:53:48
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;at a student club;a student.;2025-05-10 07:12:33
experienced;speech/rhetoric;Israel.;in my dorm;a student.;2025-05-10 07:12:57
experienced;faculty conduct;Jewish students.;in a classroom;a professor.;2025-05-10 07:13:12
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;at Hillel or Chabad;a campus club or organization.;2025-05-10 07:13:59
heard;graffiti;the Israeli government.;in a classroom;i’m not sure/unknown.;2025-05-10 07:25:36
felt;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;off campus;someone from off campus.;2025-05-10 08:34:36
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2025-05-10 09:39:02
heard;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;off campus;i’m not sure/unknown.;2025-05-10 12:37:01
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;a student.;2025-05-10 15:01:08
saw;speech/rhetoric;the Israeli government.;on the quad;a campus club or organization.;2025-05-10 16:04:32
saw;graffiti;Israel.;in a classroom;a student.;2025-05-10 16:05:02
felt;speech/rhetoric;Israel.;in a classroom;a professor.;2025-05-10 17:00:34
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a student.;2025-05-10 17:31:22
heard;speech/rhetoric;Israel.;on the quad;a student.;2025-05-10 18:42:02
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;off campus;a student.;2025-05-10 21:34:45
experienced;graffiti;faculty, staff, or administrators.;at Hillel or Chabad;i’m not sure/unknown.;2025-05-10 21:46:31
saw;graffiti;Israel.;off campus;i’m not sure/unknown.;2025-05-10 21:56:47
experienced;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a campus club or organization.;2025-05-10 23:54:02
experienced;speech/rhetoric;Jews or the Jewish community.;off campus;a student.;2025-05-11 00:54:13
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;in a classroom;a student.;2025-05-11 04:40:03
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;a campus club or organization.;2025-05-11 07:20:23
heard;speech/rhetoric;the Israeli government.;on the quad;—;2025-05-11 07:31:27
felt;faculty conduct;me.;in a classroom;a professor.;2025-05-11 07:32:42
experienced;speech/rhetoric;Jews or the Jewish community.;in a classroom;a student.;2025-05-11 07:35:56
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;a student.;2025-05-11 07:37:00
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;someone online.;2025-05-11 08:03:16
felt;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;someone online.;2025-05-11 08:08:04
felt;speech/rhetoric;Israel.;on the quad;a campus club or organization.;2025-05-11 08:22:01
saw;graffiti;Jews or the Jewish community.;on the quad;i’m not sure/unknown.;2025-05-11 08:30:13
experienced;call for BDS (Boycott, Divestment, Sanctions);me.;in my dorm;a student.;2025-05-11 08:48:25
heard;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;online;someone online.;2025-05-11 08:56:18
felt;speech/rhetoric;me.;off campus;—;2025-05-11 10:18:53
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;in a classroom;i’m not sure/unknown.;2025-05-11 10:24:01
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;at Hillel or Chabad;a student.;2025-05-11 10:51:14
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;off campus;a student.;2025-05-11 12:09:35
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;off campus;a student.;2025-05-11 16:12:28
experienced;property damage;Jewish students.;in a classroom;—;2025-05-11 17:01:44
—;faculty conduct;—;—;—;2025-05-11 17:44:21
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a student.;2025-05-11 18:16:59
heard;physical assault;me.;in a classroom;a student.;2025-05-11 18:17:22
heard;speech/rhetoric;Jews or the Jewish community.;in a classroom;a student.;2025-05-11 18:17:45
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;in a classroom;a professor.;2025-05-11 19:35:52
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;off campus;someone from off campus.;2025-05-11 20:36:04
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;in my dorm;—;2025-05-12 03:33:29
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2025-05-12 07:51:07
saw;graffiti;Israel.;on the quad;i’m not sure/unknown.;2025-05-12 07:51:14
heard;faculty conduct;Jews or the Jewish community.;online;a professor.;2025-05-12 09:27:03
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;at a student club;—;2025-05-12 10:10:53
felt;faculty conduct;me.;in a classroom;a professor.;2025-05-12 16:16:53
heard;speech/rhetoric;Israel.;in a classroom;—;2025-05-12 20:11:01
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;at a student club;a campus club or organization.;2025-05-12 23:28:49
experienced;faculty conduct;Israel.;on the quad;a campus club or organization.;2025-05-13 09:40:49
heard;physical assault;faculty, staff, or administrators.;off campus;someone from off campus.;2025-05-13 09:44:38
experienced;speech/rhetoric;Israel.;online;a student.;2025-05-13 09:45:55
saw;speech/rhetoric;Israel.;on the quad;a student.;2025-05-13 12:45:32
experienced;faculty conduct;me.;in a classroom;a professor.;2025-05-13 17:06:05
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2025-05-14 12:52:15
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2025-05-15 10:45:35
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;someone online.;2025-05-15 13:10:08
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;a student.;2025-05-15 17:27:59
saw;physical assault;Jews or the Jewish community.;in a classroom;a professor.;2025-05-15 17:28:23
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;in my dorm;a student.;2025-05-15 17:28:52
experienced;speech/rhetoric;Jews or the Jewish community.;online;a campus club or organization.;2025-05-15 19:16:42
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;—;2025-05-16 08:43:33
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;someone online.;2025-05-16 12:27:51
felt;property damage;Jews or the Jewish community.;in a classroom;a professor.;2025-05-16 12:28:14
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;in a classroom;a student.;2025-05-16 12:28:49
felt;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;off campus;i’m not sure/unknown.;2025-05-16 17:51:40
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a student.;2025-05-17 14:28:57
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;at a student club;a campus club or organization.;2025-05-17 14:31:05
experienced;speech/rhetoric;Jewish students.;in a classroom;a student.;2025-05-17 14:31:32
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;in a classroom;a student.;2025-05-17 20:49:09
heard;speech/rhetoric;Israel.;in a classroom;a professor.;2025-05-18 07:39:23
heard;speech/rhetoric;the Israeli government.;at my fraternity or sorority;someone online.;2025-05-18 19:30:42
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2025-05-18 22:15:29
saw;something else;Israel.;online;someone online.;2025-05-20 13:25:54
heard;speech/rhetoric;the Israeli government.;online;someone online.;2025-05-20 19:55:12
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;in a classroom;—;2025-05-20 20:32:01
—;property damage;—;—;—;2025-05-20 20:32:38
experienced;physical assault;me.;at a student club;a student.;2025-05-21 12:40:20
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;off campus;someone from off campus.;2025-05-21 12:41:00
heard;speech/rhetoric;Israel.;in a classroom;a professor.;2025-05-21 13:40:47
experienced;something else;faculty, staff, or administrators.;on the quad;a campus club or organization.;2025-05-21 19:53:30
heard;something else;the Israeli government.;—;—;2025-05-21 20:31:01
experienced;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;at a student club;a campus club or organization.;2025-05-22 01:51:37
experienced;physical assault;Jewish students.;in a classroom;a professor.;2025-05-22 10:05:51
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;off campus;someone from off campus.;2025-05-22 13:47:39
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;off campus;someone online.;2025-05-22 17:03:19
—;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;—;—;2025-05-22 18:09:26
felt;speech/rhetoric;Israel.;in a classroom;i’m not sure/unknown.;2025-05-23 07:37:00
felt;something else;me.;off campus;a student.;2025-05-23 12:35:14
heard;speech/rhetoric;Israel.;off campus;someone online.;2025-05-23 14:08:24
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;at a student club;a campus club or organization.;2025-05-23 14:28:24
heard;speech/rhetoric;Jews or the Jewish community.;in a classroom;a professor.;2025-05-23 15:53:47
experienced;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;i’m not sure/unknown.;2025-05-23 19:33:28
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;—;2025-05-23 19:36:03
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;in a classroom;a student.;2025-05-23 20:15:59
—;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;i’m not sure/unknown.;2025-05-23 20:51:00
saw;graffiti;Israel.;on the quad;i’m not sure/unknown.;2025-05-24 06:59:34
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a student.;2025-05-24 07:46:02
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;in my dorm;a student.;2025-05-24 11:51:26
experienced;speech/rhetoric;Israel.;on the quad;i’m not sure/unknown.;2025-05-25 05:48:23
experienced;speech/rhetoric;me.;on the quad;a student.;2025-05-25 06:26:59
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;someone online.;2025-05-25 06:33:19
saw;call for BDS (Boycott, Divestment, Sanctions);Jewish students.;on the quad;a campus club or organization.;2025-05-26 08:26:45
felt;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;i’m not sure/unknown.;2025-05-26 14:57:48
experienced;faculty conduct;Israel.;in a classroom;a professor.;2025-05-27 11:54:16
felt;speech/rhetoric;the Israeli government.;on the quad;a campus club or organization.;2025-05-27 14:35:34
experienced;faculty conduct;Israel.;in a classroom;a professor.;2025-05-28 08:30:43
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;at a student club;a campus club or organization.;2025-05-28 12:27:42
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;off campus;i’m not sure/unknown.;2025-05-28 16:16:03
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a student.;2025-05-28 17:28:44
felt;speech/rhetoric;Israel.;off campus;someone online.;2025-05-28 21:02:57
experienced;speech/rhetoric;me.;in a classroom;a student.;2025-05-29 08:52:26
experienced;faculty conduct;me.;in a classroom;a professor.;2025-05-29 10:42:42
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a campus club or organization.;2025-05-29 21:28:23
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2025-05-30 16:38:44
heard;speech/rhetoric;Israel.;on the quad;a campus club or organization.;2025-05-30 20:25:28
experienced;call for BDS (Boycott, Divestment, Sanctions);me.;off campus;someone from off campus.;2025-05-30 20:33:35
experienced;physical assault;me.;off campus;someone from off campus.;2025-05-30 20:34:06
experienced;property damage;me.;off campus;someone from off campus.;2025-05-30 20:34:40
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a student.;2025-05-30 22:20:56
felt;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;at a student club;someone from off campus.;2025-05-31 14:43:32
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;off campus;i’m not sure/unknown.;2025-05-31 14:54:57
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a student.;2025-05-31 15:18:04
—;something else;the Israeli government.;—;—;2025-05-31 15:18:12
saw;speech/rhetoric;Israel.;online;someone online.;2025-06-01 02:10:29
experienced;property damage;me.;off campus;someone from off campus.;2025-06-01 11:05:42
saw;graffiti;the Israeli government.;off campus;someone from off campus.;2025-06-01 11:06:33
saw;speech/rhetoric;Israel.;in a classroom;a student.;2025-06-01 18:28:54
heard;call for BDS (Boycott, Divestment, Sanctions);Jews or the Jewish community.;online;someone online.;2025-06-01 19:31:36
experienced;speech/rhetoric;me.;on the quad;i’m not sure/unknown.;2025-06-01 19:32:03
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;at a student club;i’m not sure/unknown.;2025-06-01 21:27:20
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;a student.;2025-06-02 02:32:12
experienced;speech/rhetoric;Jews or the Jewish community.;off campus;—;2025-06-02 12:55:52
heard;call for BDS (Boycott, Divestment, Sanctions);Jews or the Jewish community.;off campus;i’m not sure/unknown.;2025-06-02 15:18:10
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;at a student club;a student.;2025-06-03 08:48:20
experienced;physical assault;me.;off campus;someone from off campus.;2025-06-03 08:49:02
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;i’m not sure/unknown.;2025-06-03 16:44:58
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;someone online.;2025-06-03 19:39:04
experienced;speech/rhetoric;me.;off campus;i’m not sure/unknown.;2025-06-04 00:06:04
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;off campus;a campus club or organization.;2025-06-04 00:07:10
experienced;speech/rhetoric;Israel.;at my fraternity or sorority;a student.;2025-06-04 00:07:30
saw;speech/rhetoric;the Israeli government.;online;—;2025-06-04 06:38:51
experienced;faculty conduct;Israel.;in a classroom;a professor.;2025-06-04 18:26:24
experienced;physical assault;Jewish students.;on the quad;a campus club or organization.;2025-06-04 18:26:59
heard;speech/rhetoric;Israel.;off campus;i’m not sure/unknown.;2025-06-04 18:34:43
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;off campus;a campus club or organization.;2025-06-04 21:27:58
heard;speech/rhetoric;Israel.;at a student club;a student.;2025-06-05 10:08:10
experienced;faculty conduct;me.;online;a professor.;2025-06-05 13:59:25
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a campus club or organization.;2025-06-05 14:36:11
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;someone online.;2025-06-05 14:58:23
saw;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;on the quad;a student.;2025-06-05 16:46:00
felt;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a campus club or organization.;2025-06-05 17:13:16
experienced;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;someone online.;2025-06-05 20:35:16
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a campus club or organization.;2025-06-05 21:52:06
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2025-06-05 22:56:26
experienced;call for BDS (Boycott, Divestment, Sanctions);—;off campus;—;2025-06-06 07:18:05
heard;speech/rhetoric;Jews or the Jewish community.;off campus;someone from off campus.;2025-06-06 07:29:11
heard;speech/rhetoric;Jews or the Jewish community.;off campus;someone from off campus.;2025-06-06 12:47:04
experienced;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;in my dorm;a student.;2025-06-06 15:35:45
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;in a classroom;a student.;2025-06-06 15:36:28
felt;speech/rhetoric;Israel.;on the quad;a student.;2025-06-07 00:44:13
saw;speech/rhetoric;Israel.;online;a student.;2025-06-07 06:30:07
—;speech/rhetoric;the Israeli government.;online;i’m not sure/unknown.;2025-06-07 07:30:15
experienced;speech/rhetoric;me.;in a classroom;a professor.;2025-06-07 20:11:40
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2025-06-07 21:18:10
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2025-06-08 07:24:52
experienced;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;online;a campus club or organization.;2025-06-08 10:48:42
experienced;speech/rhetoric;the Israeli government.;at Hillel or Chabad;a student.;2025-06-08 16:12:46
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;i’m not sure/unknown.;2025-06-08 18:02:04
experienced;speech/rhetoric;Israel.;online;someone online.;2025-06-08 19:55:09
experienced;graffiti;Israel.;at a student club;a student.;2025-06-09 06:29:03
saw;speech/rhetoric;Jews or the Jewish community.;online;someone online.;2025-06-09 06:29:37
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2025-06-09 08:27:00
experienced;speech/rhetoric;Jews or the Jewish community.;in my dorm;someone online.;2025-06-09 08:28:26
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;in a classroom;a student.;2025-06-09 10:34:26
saw;speech/rhetoric;the Israeli government.;in a classroom;a student.;2025-06-09 18:38:30
saw;speech/rhetoric;Israel.;off campus;i’m not sure/unknown.;2025-06-09 22:05:55
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2025-06-10 06:26:28
felt;graffiti;the Israeli government.;at Hillel or Chabad;a student.;2025-06-10 09:19:20
saw;speech/rhetoric;the Israeli government.;in a classroom;a professor.;2025-06-10 20:19:18
heard;speech/rhetoric;me.;in my dorm;a student.;2025-06-10 22:08:44
experienced;speech/rhetoric;me.;—;someone online.;2025-06-11 08:31:53
experienced;speech/rhetoric;me.;at a student club;a professor.;2025-06-11 08:32:38
experienced;speech/rhetoric;me.;online;a student.;2025-06-11 08:41:28
felt;something else;Israel.;off campus;a campus club or organization.;2025-06-11 17:08:26
heard;something else;the Israeli government.;online;a student.;2025-06-11 23:49:27
experienced;property damage;me.;in my dorm;a student.;2025-06-12 11:27:40
experienced;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;on the quad;a campus club or organization.;2025-06-12 16:07:57
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2025-06-13 08:50:45
experienced;speech/rhetoric;the Israeli government.;off campus;someone from off campus.;2025-06-13 11:34:54
saw;graffiti;faculty, staff, or administrators.;on the quad;i’m not sure/unknown.;2025-06-13 12:46:41
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2025-06-13 14:34:38
experienced;graffiti;the Israeli government.;in a classroom;i’m not sure/unknown.;2025-06-14 04:30:10
experienced;faculty conduct;Jewish students.;at a student club;a professor.;2025-06-14 08:53:18
experienced;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a student.;2025-06-14 13:25:51
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;off campus;a student.;2025-06-14 16:10:13
saw;faculty conduct;Jewish students.;at Hillel or Chabad;someone from off campus.;2025-06-15 01:10:14
experienced;graffiti;me.;in my dorm;i’m not sure/unknown.;2025-06-15 18:46:41
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a student.;2025-06-15 23:35:51
heard;speech/rhetoric;Israel.;in a classroom;a professor.;2025-06-15 23:36:30
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;at a student club;a campus club or organization.;2025-06-16 06:47:52
experienced;physical assault;Jewish students.;in my dorm;—;2025-06-16 06:48:36
saw;property damage;the Israeli government.;off campus;—;2025-06-16 06:49:15
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;at a student club;a campus club or organization.;2025-06-16 06:49:47
heard;speech/rhetoric;Israel.;online;someone online.;2025-06-16 09:45:42
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;at a student club;someone online.;2025-06-16 11:39:02
saw;speech/rhetoric;Israel.;online;someone online.;2025-06-16 12:09:20
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;someone online.;2025-06-16 16:45:36
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;in a classroom;a student.;2025-06-16 16:48:14
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;in a classroom;a student.;2025-06-16 16:49:27
—;property damage;Jews or the Jewish community.;on the quad;a student.;2025-06-16 16:49:47
heard;speech/rhetoric;the Israeli government.;in a classroom;a student.;2025-06-16 16:50:13
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2025-06-16 17:33:31
experienced;speech/rhetoric;Jews or the Jewish community.;online;a professor.;2025-06-16 18:23:17
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;off campus;—;2025-06-16 19:29:55
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;someone online.;2025-06-17 05:58:58
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a campus club or organization.;2025-06-17 11:32:41
felt;speech/rhetoric;Israel.;off campus;someone online.;2025-06-17 18:08:39
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;in a classroom;a student.;2025-06-17 18:18:53
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2025-06-17 19:21:50
experienced;speech/rhetoric;me.;off campus;—;2025-06-17 20:30:15
felt;speech/rhetoric;Jews or the Jewish community.;online;—;2025-06-17 20:32:38
saw;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;online;i’m not sure/unknown.;2025-06-18 09:30:08
felt;graffiti;me.;in my dorm;i’m not sure/unknown.;2025-06-18 20:08:38
experienced;physical assault;me.;on the quad;a student.;2025-06-18 20:09:26
experienced;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;at a student club;a student.;2025-06-21 08:29:54
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;at Hillel or Chabad;a campus club or organization.;2025-06-28 20:07:08
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;in a classroom;a student.;2025-06-30 00:08:22
experienced;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;—;—;2025-09-09 13:37:39
heard;speech/rhetoric;Israel.;in a classroom;a student.;2025-09-09 16:06:53
experienced;speech/rhetoric;Israel.;off campus;a student.;2025-09-09 20:08:10
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;in a classroom;a campus club or organization.;2025-09-09 20:26:19
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;—;—;2025-09-10 07:41:40
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;in a classroom;a student.;2025-09-10 10:26:00
experienced;something else;me.;online;someone online.;2025-09-10 11:41:43
heard;speech/rhetoric;the Israeli government.;on the quad;i’m not sure/unknown.;2025-09-10 12:35:14
heard;speech/rhetoric;Jews or the Jewish community.;off campus;i’m not sure/unknown.;2025-09-10 17:56:41
felt;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;someone online.;2025-09-10 19:01:35
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a student.;2025-09-10 19:22:11
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;i’m not sure/unknown.;2025-09-11 06:49:51
experienced;speech/rhetoric;Israel.;in a classroom;a professor.;2025-09-11 09:11:26
experienced;speech/rhetoric;me.;on the quad;a student.;2025-09-11 15:16:29
experienced;speech/rhetoric;the Israeli government.;off campus;a student.;2025-09-11 16:11:12
heard;speech/rhetoric;the Israeli government.;online;someone online.;2025-09-11 18:32:46
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;at a student club;i’m not sure/unknown.;2025-09-13 19:59:36
